g^4,gamma,D(p),error,p
10.0,1.0,0.3065669640893966,0.0143357224233494,4.908738521234052
10.0,1.0,0.3334143919169487,0.0147151231842842,5.105088062083414
10.0,1.0,0.3636185537873589,0.0140260627831613,5.301437602932776
10.0,1.0,0.4094894201719981,0.0185076139772884,5.497787143782138
10.0,1.0,0.5185061304449847,0.0170255746931964,5.6941366846315
10.0,1.0,0.5062631306431148,0.018476285311981,5.890486225480862
10.0,1.0,0.5808192966006118,0.0195532114094043,6.086835766330224
5.0,1.0,0.8009780934165839,0.0287904788187916,0.0
5.0,1.0,0.6927429179345588,0.0206705318051781,0.196349540849362
5.0,1.0,0.6636488044665556,0.0196065991123503,0.3926990816987241
5.0,1.0,0.5856241019031567,0.0188524136901759,0.5890486225480862
5.0,1.0,0.4979638487375503,0.0185646889827643,0.7853981633974483
5.0,1.0,0.4522789862316703,0.0163602816257048,0.9817477042468103
5.0,1.0,0.3845115243949003,0.0157286249391041,1.1780972450961724
5.0,1.0,0.3072144474511918,0.0141727355988069,1.3744467859455345
5.0,1.0,0.2962802143071443,0.0144109401227724,1.5707963267948966
5.0,1.0,0.2541427391681966,0.0133479961515212,1.7671458676442586
5.0,1.0,0.2421846466902952,0.0118314074897047,1.9634954084936207
5.0,1.0,0.1931637897661834,0.0126172326799443,2.1598449493429825
5.0,1.0,0.196577497152398,0.0124207070950308,2.356194490192345
5.0,1.0,0.1964208588868251,0.0115241159905965,2.552544031041707
5.0,1.0,0.2077115650641927,0.0111539105267607,2.748893571891069
5.0,1.0,0.1690533933327848,0.011242611960216,2.945243112740431
5.0,1.0,0.1809933245186569,0.0140090008784274,3.141592653589793
5.0,1.0,0.2126592394085048,0.0114110341330212,3.3379421944391554
5.0,1.0,0.1915496758505706,0.011411758597587,3.5342917352885173
5.0,1.0,0.1911648163315256,0.0110262851914055,3.730641276137879
5.0,1.0,0.2011809599771045,0.0129561559586628,3.9269908169872414
5.0,1.0,0.219093045651889,0.0109102932916487,4.123340357836604
5.0,1.0,0.2424542696708017,0.0131519475935499,4.319689898685965
5.0,1.0,0.263796456078756,0.0130674704910314,4.516039439535327
5.0,1.0,0.2723477754900484,0.0153613232936555,4.71238898038469
5.0,1.0,0.3531422581352861,0.0149790010693161,4.908738521234052
5.0,1.0,0.3745932415292434,0.0160137805390705,5.105088062083414
5.0,1.0,0.4757475773267361,0.0163235236396601,5.301437602932776
5.0,1.0,0.5290559305152469,0.0172298829051404,5.497787143782138
5.0,1.0,0.6273466997643733,0.018388316378537,5.6941366846315
5.0,1.0,0.7304874220183071,0.0219824385676838,5.890486225480862
5.0,1.0,0.7118980607429322,0.0208453354739588,6.086835766330224
2.0,1.0,0.8685096797991703,0.0349580909678769,0.0
2.0,1.0,0.8303842304753617,0.0235327782073419,0.196349540849362
2.0,1.0,0.7143823529673796,0.0222189163835025,0.3926990816987241
2.0,1.0,0.6694888394227783,0.020547766323215,0.5890486225480862
2.0,1.0,0.607972104009972,0.020244264653772,0.7853981633974483
2.0,1.0,0.4875549393649387,0.0184013507258303,0.9817477042468103
2.0,1.0,0.3880943050249625,0.0156408873267671,1.1780972450961724
2.0,1.0,0.3764513203568005,0.0159512290875024,1.3744467859455345
2.0,1.0,0.3094746984655906,0.0159430314809171,1.5707963267948966
2.0,1.0,0.2654316711766981,0.0156855263361115,1.7671458676442586
2.0,1.0,0.2487187148145012,0.0130562684615553,1.9634954084936207
2.0,1.0,0.2503485743048665,0.0117246726104364,2.1598449493429825
2.0,1.0,0.2213654365590515,0.0142166573034593,2.356194490192345
2.0,1.0,0.1928335426893678,0.0124656085944232,2.552544031041707
