g^4,gamma,D(p),error,p
10.0,1.0,-0.2293231268359693,0.0345156852019128,2.1598449493429825
10.0,1.0,-0.3050567968517389,0.0291767633024566,2.356194490192345
10.0,1.0,-0.3062368211430089,0.0356853660825202,2.552544031041707
10.0,1.0,-0.465971427153989,0.0337463131875352,2.748893571891069
10.0,1.0,-0.45023472563613,0.0305206841666469,2.945243112740431
10.0,1.0,-0.4451427286195986,0.0479381230377481,3.141592653589793
10.0,1.0,-0.4077682737238314,0.0337709190222667,3.3379421944391554
10.0,1.0,-0.3840258929697102,0.038583008685327,3.5342917352885173
10.0,1.0,-0.2616963165424104,0.0382884376138183,3.730641276137879
10.0,1.0,-0.2405302375211311,0.0261641231785469,3.9269908169872414
10.0,1.0,-0.1893465186169564,0.0351053595262303,4.123340357836604
10.0,1.0,-0.1072621108323302,0.0333941820300019,4.319689898685965
10.0,1.0,-0.0058110314523581,0.0380960611387628,4.516039439535327
10.0,1.0,0.0270557018499185,0.0282096667860796,4.71238898038469
10.0,1.0,0.1719470635871248,0.0402793837453621,4.908738521234052
10.0,1.0,0.3791124534520826,0.0362163367152379,5.105088062083414
10.0,1.0,0.3993663156543819,0.0359025169005108,5.301437602932776
10.0,1.0,0.4802579326907811,0.0286616390660353,5.497787143782138
10.0,1.0,0.5834736652442163,0.038708979098778,5.6941366846315
10.0,1.0,0.5950205320408702,0.0379759880991082,5.890486225480862
10.0,1.0,0.6123690907172719,0.0372990458209159,6.086835766330224
5.0,1.0,0.4860426567830914,0.0609068478605794,0.0
5.0,1.0,0.5463682797279761,0.0389546700224374,0.196349540849362
5.0,1.0,0.5571910108825959,0.0364290176630819,0.3926990816987241
5.0,1.0,0.5204837589223065,0.0405631513459069,0.5890486225480862
5.0,1.0,0.4977161412631676,0.0365052722377365,0.7853981633974483
5.0,1.0,0.577275052010676,0.0378170056438614,0.9817477042468103
5.0,1.0,0.6063305095546057,0.0386026801802538,1.1780972450961724
5.0,1.0,0.5200530914496376,0.0328746150984834,1.3744467859455345
5.0,1.0,0.4883053605001794,0.0333147075558254,1.5707963267948966
5.0,1.0,0.4565455196979561,0.0299330677343261,1.7671458676442586
5.0,1.0,0.4761533051537722,0.0373039744839529,1.9634954084936207
5.0,1.0,0.5186082336167156,0.0370407425028056,2.1598449493429825
5.0,1.0,0.5475929047263732,0.0329866873582106,2.356194490192345
5.0,1.0,0.4857320571217909,0.0324540567522149,2.552544031041707
5.0,1.0,0.4844792573385219,0.0284597847583182,2.748893571891069
5.0,1.0,0.4998074616746695,0.0387525791640674,2.945243112740431
5.0,1.0,0.5414941906037503,0.0464042799393422,3.141592653589793
5.0,1.0,0.6179709571223365,0.0353413331821884,3.3379421944391554
5.0,1.0,0.5286640753449137,0.032515902230097,3.5342917352885173
5.0,1.0,0.5403691216726684,0.0328080091372922,3.730641276137879
5.0,1.0,0.5931332701096417,0.0323958448822688,3.9269908169872414
5.0,1.0,0.3941852295227203,0.0339893378954043,4.123340357836604
5.0,1.0,0.5375988224293006,0.0380554668498063,4.319689898685965
5.0,1.0,0.5144618776952057,0.0320212450519672,4.516039439535327
5.0,1.0,0.4998047834273333,0.036101760619297,4.71238898038469
5.0,1.0,0.595387429250229,0.0379807489477298,4.908738521234052
5.0,1.0,0.5915419663888596,0.0343425229338692,5.105088062083414
5.0,1.0,0.505355802745418,0.0366946086232881,5.301437602932776
5.0,1.0,0.5030410749068696,0.0374071476269682,5.497787143782138
5.0,1.0,0.5078028820451379,0.0367824635800448,5.6941366846315
5.0,1.0,0.5696417310730204,0.0357982750330437,5.890486225480862
5.0,1.0,0.5400918264193559,0.0440666562105766,6.086835766330224
2.0,1.0,0.7295557433321181,0.0569085347457357,0.0
2.0,1.0,0.7335397228155012,0.0397548091329377,0.196349540849362
2.0,1.0,0.6747745656544566,0.0455939186404965,0.3926990816987241
2.0,1.0,0.6979239796365424,0.0455662756799777,0.5890486225480862
2.0,1.0,0.5526757103914729,0.0352274138730038,0.7853981633974483
2.0,1.0,0.5887287090556231,0.0430694188431498,0.9817477042468103
2.0,1.0,0.5295004827351022,0.038163900083135,1.1780972450961724
2.0,1.0,0.6636838852699785,0.0367173081091783,1.3744467859455345
2.0,1.0,0.7227098307254975,0.0333271734459412,1.5707963267948966
2.0,1.0,0.65068708115262,0.0415272817107824,1.7671458676442586
2.0,1.0,0.6490099875669226,0.0408305727610794,1.9634954084936207
2.0,1.0,0.6586992788843049,0.0428213484156925,2.1598449493429825
2.0,1.0,0.6412890284967839,0.0376211367036429,2.356194490192345
2.0,1.0,0.6494899410890498,0.0386755638143326,2.552544031041707
2.0,1.0,0.6718404048038826,0.0364368171424474,2.748893571891069
2.0,1.0,0.7149562915565139,0.0347596807323006,2.945243112740431
2.0,1.0,0.634371720205015,0.0542069414430625,3.141592653589793
2.0,1.0,0.5924010945233321,0.0335761642181341,3.3379421944391554
2.0,1.0,0.5802487748362009,0.039430103172123,3.5342917352885173
2.0,1.0,0.7127744144818426,0.0351571927081141,3.730641276137879
2.0,1.0,0.7067176984822059,0.0381933247736638,3.9269908169872414
2.0,1.0,0.5874443863039537,0.0458270023188461,4.123340357836604
2.0,1.0,0.6416681751237207,0.0379632202291735,4.319689898685965
2.0,1.0,0.6867316031978562,0.0400815381824424,4.516039439535327
2.0,1.0,0.6484108878810427,0.043910915187343,4.71238898038469
2.0,1.0,0.5602247006655844,0.0430482890385988,4.908738521234052
2.0,1.0,0.6237045091059666,0.0406248285189729,5.105088062083414
2.0,1.0,0.5355661019703849,0.0396712560117885,5.301437602932776
2.0,1.0,0.5438513574051718,0.0365535042601871,5.497787143782138
2.0,1.0,0.626922872814928,0.0456110598815545,5.6941366846315
2.0,1.0,0.6806017900900162,0.0450469930372225,5.890486225480862
2.0,1.0,0.7712396277999448,0.0391732932769174,6.086835766330224
1.0,1.0,0.0615307770476502,0.0678221018651255,0.0
1.0,1.0,0.1057171570918187,0.0474617499903885,0.196349540849362
1.0,1.0,0.142794400617542,0.0436712547300773,0.3926990816987241
1.0,1.0,0.0967357102367451,0.0436416612692382,0.5890486225480862
1.0,1.0,0.0393371010635423,0.0424274532376178,0.7853981633974483
1.0,1.0,-0.0453290796199305,0.0474212071742566,0.9817477042468103
1.0,1.0,0.0387329684405174,0.0356991075681503,1.1780972450961724
1.0,1.0,-0.103622266429563,0.0400377746443855,1.3744467859455345
1.0,1.0,0.0279099745009862,0.0392840266004144,1.5707963267948966
1.0,1.0,-0.1256184074382708,0.0398604124362322,1.7671458676442586
1.0,1.0,-0.0643821510397185,0.0343535036654312,1.9634954084936207
1.0,1.0,-0.0657867252104452,0.037764640681587,2.1598449493429825
1.0,1.0,-0.0893198123286274,0.0368929503566917,2.356194490192345
1.0,1.0,-0.0954232896756709,0.034922032970305,2.552544031041707
1.0,1.0,-0.0178983268576519,0.0408104789367373,2.748893571891069
1.0,1.0,0.0457764318790097,0.0385019847484578,2.945243112740431
1.0,1.0,-0.0264684566003614,0.0517243028871321,3.141592653589793
1.0,1.0,0.0259023737555783,0.0408955009016323,3.3379421944391554
1.0,1.0,-0.0113787417898173,0.0396039534369285,3.5342917352885173
1.0,1.0,0.0472319502069104,0.0336534820300618,3.730641276137879
1.0,1.0,-0.0615612547787379,0.0383223218701264,3.9269908169872414
1.0,1.0,-0.2130698210394171,0.0399719367960561,4.123340357836604
1.0,1.0,-0.021180347120946,0.0409219860949795,4.319689898685965
1.0,1.0,-0.0689718063221106,0.0400063450564036,4.516039439535327
1.0,1.0,-0.0963277602742254,0.0337628655210605,4.71238898038469
1.0,1.0,-0.090677767323075,0.0428821031675386,4.908738521234052
1.0,1.0,0.049155306226868,0.0448324966123174,5.105088062083414
1.0,1.0,-0.0403284336980076,0.0506721167127494,5.301437602932776
1.0,1.0,0.0502923325791039,0.045105277752994,5.497787143782138
1.0,1.0,0.0866262383505726,0.0371817114490458,5.6941366846315
1.0,1.0,0.105686221422441,0.0437545202566927,5.890486225480862
1.0,1.0,0.0456037553500415,0.0449288170108323,6.086835766330224
0.5,1.0,0.3361544138918917,0.0673653361077898,0.0
0.5,1.0,0.2634478463303651,0.0496404585730716,0.196349540849362
0.5,1.0,0.3588490396266094,0.0382529796084322,0.3926990816987241
0.5,1.0,0.1260307997284968,0.0393612217901357,0.5890486225480862
0.5,1.0,0.2340790620988471,0.0418362719929517,0.7853981633974483
0.5,1.0,0.1397444883930263,0.0445616480339894,0.9817477042468103
0.5,1.0,0.1369468486939104,0.0419571164729333,1.1780972450961724
0.5,1.0,0.2915645908076377,0.0411048569466952,1.3744467859455345
0.5,1.0,0.2129503336582082,0.0415684406247856,1.5707963267948966
0.5,1.0,0.2093675087535882,0.042507602333564,1.7671458676442586
0.5,1.0,0.1636580673875466,0.0396414908105888,1.9634954084936207
0.5,1.0,0.2973358061332478,0.0456192074903596,2.1598449493429825
0.5,1.0,0.1848832161591662,0.0443467725900057,2.356194490192345
0.5,1.0,0.2378657068304764,0.0428922882159713,2.552544031041707
0.5,1.0,0.114237448168064,0.0401466920531159,2.748893571891069
0.5,1.0,0.1435748687292476,0.0442942377253079,2.945243112740431
0.5,1.0,0.1539770199377834,0.0537675171206493,3.141592653589793
0.5,1.0,0.2245138057393168,0.0453890781056309,3.3379421944391554
0.5,1.0,0.1244965696452677,0.034844899564231,3.5342917352885173
0.5,1.0,0.1487889044387861,0.0382225333605127,3.730641276137879
0.5,1.0,0.0369457723837669,0.0400193624561422,3.9269908169872414
0.5,1.0,0.2163815316892678,0.0423850683538027,4.123340357836604
0.5,1.0,0.211139744724135,0.0409965217008778,4.319689898685965
0.5,1.0,0.1778231627938572,0.0394401083620133,4.516039439535327
0.5,1.0,0.236085667546966,0.0470255865373759,4.71238898038469
0.5,1.0,0.2449047703287865,0.0382604510583708,4.908738521234052
0.5,1.0,0.2436221868992476,0.0362198020596748,5.105088062083414
0.5,1.0,0.2204148798300847,0.0389880732170767,5.301437602932776
0.5,1.0,0.2311647484352056,0.047953885767228,5.497787143782138
0.5,1.0,0.1492353898157637,0.0447326434526487,5.6941366846315
0.5,1.0,0.2389098542623235,0.0437992435237388,5.890486225480862
0.5,1.0,0.231016321413801,0.0495417602516684,6.086835766330224
0.0,1.0,0.3681932338572387,0.0724808673520513,0.0
0.0,1.0,0.4486072559139291,0.046062848289124,0.196349540849362
0.0,1.0,0.2675007293392478,0.0435522294736426,0.3926990816987241
0.0,1.0,0.1984711796507593,0.0470564136306887,0.5890486225480862
0.0,1.0,0.0336017255434893,0.0427344991201385,0.7853981633974483
0.0,1.0,-0.1249977018024218,0.0446607103644992,0.9817477042468103
0.0,1.0,-0.2916981667890306,0.0510253983835335,1.1780972450961724
0.0,1.0,-0.387506601870989,0.0554849714411724,1.3744467859455345
0.0,1.0,-0.4116667717935954,0.0426310007178127,1.5707963267948966
0.0,1.0,-0.5780135027691414,0.0414993123065999,1.7671458676442586
0.0,1.0,-0.3523404192362259,0.0402418342148,1.9634954084936207
0.0,1.0,-0.257611929563772,0.0411985658430049,2.1598449493429825
0.0,1.0,0.0017312351305712,0.0426421727047771,2.356194490192345
