g^4,gamma,D(p),error,p,comment
40.0,1.0,0.3027154964259731,0.0115731037166435,5.890486225480862,working
40.0,1.0,0.3033391671280603,0.0123542140136611,6.086835766330224,working
2.0,1.0,0.8849611240679351,0.0290334001565729,0.0,working
2.0,1.0,0.8386581865728863,0.0202291949652159,0.196349540849362,working
2.0,1.0,0.7274632546784313,0.0196470393955297,0.3926990816987241,working
2.0,1.0,0.7626798708076994,0.021621285117119,0.5890486225480862,working
2.0,1.0,0.5637691600138477,0.0195932563676651,0.7853981633974483,working
2.0,1.0,0.472884683827454,0.0165070828910557,0.9817477042468103,working
2.0,1.0,0.4129317057218257,0.0143676567118716,1.1780972450961724,working
2.0,1.0,0.4141499562609121,0.0148569972550554,1.3744467859455345,working
2.0,1.0,0.3134430534668155,0.0145123895136755,1.5707963267948966,working
2.0,1.0,0.2515212524771614,0.0123446485688315,1.7671458676442586,working
2.0,1.0,0.2679739370633171,0.0112142584804557,1.9634954084936207,working
2.0,1.0,0.2441386008900831,0.0126033429672117,2.1598449493429825,working
2.0,1.0,0.2296760839378543,0.0119472600427714,2.356194490192345,working
2.0,1.0,0.215855483950813,0.01105738436827,2.552544031041707,working
2.0,1.0,0.1950137521126419,0.0097140235505768,2.748893571891069,working
2.0,1.0,0.2005926324660409,0.0090001247096451,2.945243112740431,working
2.0,1.0,0.1737121910599531,0.017065380408788,3.141592653589793,working
2.0,1.0,0.1760944150684429,0.0109654818942923,3.3379421944391554,working
2.0,1.0,0.2045567137230511,0.0107219003967963,3.5342917352885173,working
2.0,1.0,0.208414212170341,0.01097995651514,3.730641276137879,working
2.0,1.0,0.2127926661248796,0.0115416757031079,3.9269908169872414,working
2.0,1.0,0.2407158860913732,0.0114901822674943,4.123340357836604,working
2.0,1.0,0.2628269639556305,0.0135643781022297,4.319689898685965,working
2.0,1.0,0.2834540250799738,0.0137161706414817,4.516039439535327,working
2.0,1.0,0.3347103245178765,0.0120868958137542,4.71238898038469,working
2.0,1.0,0.342156892078762,0.0123838231673687,4.908738521234052,working
2.0,1.0,0.4050192439571539,0.0148568026978764,5.105088062083414,working
2.0,1.0,0.4910500065385388,0.0162134961820879,5.301437602932776,working
2.0,1.0,0.556425901180911,0.0177666601980504,5.497787143782138,working
2.0,1.0,0.6743927895914757,0.018397457728772,5.6941366846315,working
2.0,1.0,0.7274669790594427,0.0217356041395931,5.890486225480862,working
2.0,1.0,0.856572728009533,0.0212692135901258,6.086835766330224,working
10.0,1.0,0.5706813556954503,0.0245195530443753,0.0,working
10.0,1.0,0.6130434581542575,0.0150127468545449,0.196349540849362,working
10.0,1.0,0.5208345439867998,0.016468445598758,0.3926990816987241,working
10.0,1.0,0.4596077290118646,0.0150520646009572,0.5890486225480862,working
10.0,1.0,0.4326631467090297,0.0164790103381827,0.7853981633974483,working
10.0,1.0,0.3671812609669067,0.012140660558059,0.9817477042468103,working
10.0,1.0,0.331792821647649,0.0135740099905125,1.1780972450961724,working
10.0,1.0,0.3116977822343887,0.0131134764699062,1.3744467859455345,working
10.0,1.0,0.2411615811330092,0.0113601605302206,1.5707963267948966,working
10.0,1.0,0.2533601258993023,0.0110251561282153,1.7671458676442586,working
10.0,1.0,0.2108194224391905,0.0104863279904263,1.9634954084936207,working
10.0,1.0,0.2177365426265481,0.0108778369181494,2.1598449493429825,working
10.0,1.0,0.1912146058040375,0.0117763339072939,2.356194490192345,working
10.0,1.0,0.1624719941297129,0.009850040903247,2.552544031041707,working
10.0,1.0,0.2013089246908288,0.0098722521027759,2.748893571891069,working
10.0,1.0,0.181386122460081,0.0095395930271425,2.945243112740431,working
10.0,1.0,0.1862066346629271,0.0135744954855643,3.141592653589793,working
10.0,1.0,0.1836855727904562,0.0102310054442451,3.3379421944391554,working
10.0,1.0,0.1845924071400049,0.009981216581591,3.5342917352885173,working
10.0,1.0,0.1834564119321366,0.009251891797075,3.730641276137879,working
10.0,1.0,0.1869548837710229,0.0111191861787936,3.9269908169872414,working
10.0,1.0,0.2176818975984445,0.0112541653992201,4.123340357836604,working
10.0,1.0,0.1896187063433441,0.0103188146292926,4.319689898685965,working
10.0,1.0,0.2482273810035439,0.0111260818369866,4.516039439535327,working
10.0,1.0,0.2660081965261403,0.0108474559910647,4.71238898038469,working
10.0,1.0,0.2948475860942907,0.0121186261265124,4.908738521234052,working
10.0,1.0,0.3430500745365739,0.0117133504993475,5.105088062083414,working
10.0,1.0,0.3932428274542575,0.0119509147208907,5.301437602932776,working
10.0,1.0,0.482665401511347,0.0142888514558141,5.497787143782138,working
10.0,1.0,0.4624506261782144,0.0157829052843751,5.6941366846315,working
10.0,1.0,0.5444921213079035,0.0152059704914615,5.890486225480862,working
10.0,1.0,0.6429347939672999,0.0170697585298405,6.086835766330224,working
5.0,1.0,0.7455627777629773,0.0257435217142402,0.0,working
5.0,1.0,0.6713851881531874,0.0179749582144726,0.196349540849362,working
5.0,1.0,0.6801549772600081,0.0182504758612191,0.3926990816987241,working
5.0,1.0,0.5882476884702053,0.018891401669441,0.5890486225480862,working
5.0,1.0,0.464839476570636,0.0175649040842219,0.7853981633974483,working
5.0,1.0,0.4634734231718087,0.0144178519578264,0.9817477042468103,working
5.0,1.0,0.3702984344647907,0.0131994348261539,1.1780972450961724,working
5.0,1.0,0.2975156590500133,0.0132126678357606,1.3744467859455345,working
5.0,1.0,0.2867821998550827,0.0119952122368926,1.5707963267948966,working
